runtime_seconds,419.3644915999612
runtime_display,6 min 59.4 s

detuning_ghz,source_power_w,transport_feasible,handover_transfer_efficiency,science_total_temperature_rise_uK,final_retention_from_mot,science_peak_density_m3
100.0,0.0,False,,,,
125.0,0.0,False,,,,
150.0,0.0,False,,,,
175.0,0.0,False,,,,
200.0,0.0,False,,,,
225.0,0.0,False,,,,
250.0,0.0,False,,,,
275.0,0.0,False,,,,
300.0,0.0,False,,,,
325.0,0.0,False,,,,
350.0,0.0,False,,,,
375.0,0.0,False,,,,
400.0,0.0,False,,,,
425.0,0.0,False,,,,
450.0,0.0,False,,,,
475.0,0.0,False,,,,
500.0,0.0,False,,,,
525.0,0.0,False,,,,
550.0,0.0,False,,,,
575.0,0.0,False,,,,
600.0,0.0,False,,,,
625.0,0.0,False,,,,
650.0,0.0,False,,,,
675.0,0.0,False,,,,
700.0,0.0,False,,,,
725.0,0.0,False,,,,
750.0,0.0,False,,,,
775.0,0.0,False,,,,
800.0,0.0,False,,,,
100.0,0.1,True,0.652,-5.473545895523348,0.36725334400000004,1.677782903012695e+18
125.0,0.1,True,0.608,-8.591999233042902,0.33145728,1.5638155355311437e+18
150.0,0.1,True,0.582,-11.786969834649875,0.345708,2.0401921822653478e+18
175.0,0.1,True,0.612,-14.55464775414714,0.30954960000000004,2.697073998037339e+18
200.0,0.1,True,0.56,-16.617438768329723,0.17645824000000002,2.581551677256687e+18
225.0,0.1,True,0.484,-17.482901132901212,0.010709952,2.0544627114746966e+17
250.0,0.1,True,,,,
275.0,0.1,True,,,,
300.0,0.1,True,,,,
325.0,0.1,True,,,,
350.0,0.1,True,,,,
375.0,0.1,True,,,,
400.0,0.1,True,,,,
425.0,0.1,True,,,,
450.0,0.1,True,,,,
475.0,0.1,True,,,,
500.0,0.1,True,,,,
525.0,0.1,True,,,,
550.0,0.1,True,,,,
575.0,0.1,True,,,,
600.0,0.1,True,,,,
625.0,0.1,True,,,,
650.0,0.1,True,,,,
675.0,0.1,True,,,,
700.0,0.1,True,,,,
725.0,0.1,True,,,,
750.0,0.1,True,,,,
775.0,0.1,True,,,,
800.0,0.1,True,,,,
100.0,0.2,True,0.79,11.580155297354004,0.58210992,2.346594410695748e+18
125.0,0.2,True,0.728,6.263856357204972,0.485078048,1.8530671051810163e+18
150.0,0.2,True,0.674,-0.05597816056460303,0.4491536000000001,1.9812420786530107e+18
175.0,0.2,True,0.694,-3.0355697886945876,0.447246912,2.0044028450823726e+18
200.0,0.2,True,0.662,-5.853867003207183,0.44158577600000004,2.1365390968321897e+18
225.0,0.2,True,0.62,-7.640761370015493,0.386942,1.9295873319900288e+18
250.0,0.2,True,0.574,-8.807947289565957,0.35270004,1.7501782830947543e+18
275.0,0.2,True,0.602,-9.452161953571627,0.37051896,1.7493558870667213e+18
300.0,0.2,True,0.56,-11.192395702177087,0.34652352,1.8898432590088737e+18
325.0,0.2,True,0.576,-13.551339833292637,0.33239808,2.5770913279080765e+18
350.0,0.2,True,0.588,-14.222120767043336,0.31443888,2.582916422095219e+18
375.0,0.2,True,0.6,-15.605962584215407,0.26226,2.941278423218121e+18
400.0,0.2,True,0.488,-16.688366249140433,0.17813952,2.7833045773307254e+18
425.0,0.2,True,0.612,-17.105469511321026,0.105518592,1.849818941371874e+18
450.0,0.2,True,0.546,-17.981192256367812,0.04853721600000001,1.3463288098473664e+18
475.0,0.2,True,0.938,-18.11054229756107,0.0073726799999999995,2.09118858665572e+17
500.0,0.2,True,,,,
525.0,0.2,True,,,,
550.0,0.2,True,,,,
575.0,0.2,True,,,,
600.0,0.2,True,,,,
625.0,0.2,True,,,,
650.0,0.2,True,,,,
675.0,0.2,True,,,,
700.0,0.2,True,,,,
725.0,0.2,True,,,,
750.0,0.2,True,,,,
775.0,0.2,True,,,,
800.0,0.2,True,,,,
100.0,0.30000000000000004,True,0.902,27.545792082275703,0.7083045200000001,2.8395086439293363e+18
125.0,0.30000000000000004,True,0.834,17.335049576061152,0.6531020639999999,2.7043326623324303e+18
150.0,0.30000000000000004,True,0.81,11.42390586448408,0.5766228,2.362654520019801e+18
175.0,0.30000000000000004,True,0.724,6.83333570605447,0.5076832800000001,2.1011851808248515e+18
200.0,0.30000000000000004,True,0.712,7.082233291941904,0.497434528,1.6691619555304689e+18
225.0,0.30000000000000004,True,0.688,0.2507561392698463,0.445824,1.9473526703116198e+18
250.0,0.30000000000000004,True,0.666,-0.7095205194526422,0.42498792,1.7121442138766252e+18
275.0,0.30000000000000004,True,0.646,-3.195049036910813,0.43991308,1.8974083317214572e+18
300.0,0.30000000000000004,True,0.616,-5.374580594002476,0.4344032,2.0339823103220004e+18
325.0,0.30000000000000004,True,0.612,-6.572969230959606,0.400404672,1.8981983347698734e+18
350.0,0.30000000000000004,True,0.614,-8.264744380304052,0.37598904,1.960198471700628e+18
375.0,0.30000000000000004,True,0.59,-8.602111327557623,0.37823248,1.865343417699252e+18
400.0,0.30000000000000004,True,0.6,-9.36854716402345,0.40173119999999995,2.0046909579092426e+18
425.0,0.30000000000000004,True,0.596,-10.698882953076273,0.382174272,2.1367961786727048e+18
450.0,0.30000000000000004,True,0.632,-10.444620187227262,0.379968512,1.8803179195918595e+18
